ID_plot_subplot.x	Zone	Treatment	Plot	Subplot	Depth	mean_ri	se_ri	elevation_raw	ID_plot_subplot.y	elevation	elevation_coeff
112G6	PZ	+3.0°C	112	G6	50-60 cm	0.781043312445539	0.0739427132601995	-0.41	112G6	-0.91	0.5
112G6	PZ	+3.0°C	112	G6	60-70 cm	0.685228901765502	0.0860554324172528	-0.41	112G6	-1.01	0.6
112G6	PZ	+3.0°C	112	G6	70-80 cm	0.596854795430945	0.0649399704814563	-0.41	112G6	-1.11	0.7
120A6	PZ	ambient	120	A6	0-10 cm	0.293651635204099	0.0405356009661355	-0.38	120A6	-0.38	0
120A6	PZ	ambient	120	A6	10-20 cm	0.333390889482283	0.0504630643010799	-0.38	120A6	-0.48	0.1
120A6	PZ	ambient	120	A6	20-30 cm	0.645177224082369	0.0588387355851209	-0.38	120A6	-0.58	0.2
120A6	PZ	ambient	120	A6	30-40 cm	0.769376869820943	0.0590785938911185	-0.38	120A6	-0.68	0.3
120A6	PZ	ambient	120	A6	40-50 cm	0.776825323049006	0.0557501768709548	-0.38	120A6	-0.78	0.4
120A6	PZ	ambient	120	A6	50-60 cm	0.767363365033996	0.059547239199338	-0.38	120A6	-0.88	0.5
120A6	PZ	ambient	120	A6	60-70 cm	0.748696863345674	0.0663109097641371	-0.38	120A6	-0.98	0.6
120A6	PZ	ambient	120	A6	70-80 cm	0.630544446121336	0.0570517454036492	-0.38	120A6	-1.08	0.7
120G6	PZ	ambient	120	G6	0-10 cm	0.23378788253403	0.0403653570803802	-0.42	120G6	-0.42	0
120G6	PZ	ambient	120	G6	10-20 cm	0.514495498608523	0.0630729278059415	-0.42	120G6	-0.52	0.1
120G6	PZ	ambient	120	G6	20-30 cm	0.762680649323076	0.052210916789048	-0.42	120G6	-0.62	0.2
120G6	PZ	ambient	120	G6	30-40 cm	0.775162506069737	0.0727937359362699	-0.42	120G6	-0.72	0.3
120G6	PZ	ambient	120	G6	40-50 cm	0.798413821881112	0.0721337782695037	-0.42	120G6	-0.82	0.4
120G6	PZ	ambient	120	G6	50-60 cm	0.842399795878636	0.0578945622510704	-0.42	120G6	-0.92	0.5
