plot	zone	treatment	increment	n	mean	sd	se	ci
371	HM	+1.5°C	30-40 cm	8	0.886558091570323	0.137745860412338	0.0487005159889699	0.1151584211726
371	HM	+1.5°C	40-50 cm	8	0.913215229303313	0.0713388857251127	0.0252221049292597	0.0596408009919454
371	HM	+1.5°C	50-60 cm	8	0.717989615956926	0.234719250522124	0.0829857868596091	0.196230204145741
371	HM	+1.5°C	60-70 cm	8	0.377420983863722	0.125814130027698	0.0444820122558355	0.105183244939796
371	HM	+1.5°C	70-80 cm	8	0.197827180590957	0.109220587420686	0.0386153090051727	0.0913106961563806
372	HM	+3.0°C	0-10 cm	8	0.0121536203970747	0.0155266549218511	0.00548950149219221	0.0129806083575925
372	HM	+3.0°C	10-20 cm	8	0.290323617592573	0.348151178009144	0.123090029424175	0.291061668705674
372	HM	+3.0°C	20-30 cm	8	0.687701870759928	0.295657464280127	0.104530698950449	0.247175825774175
372	HM	+3.0°C	30-40 cm	8	0.917339100616202	0.0824929829296506	0.029165673814931	0.0689658596168305
372	HM	+3.0°C	40-50 cm	8	0.895639638930663	0.0963310295820806	0.0340581621280856	0.08053475613275
372	HM	+3.0°C	50-60 cm	8	0.764817285047906	0.192000079275565	0.0678822790220532	0.160516083228935
372	HM	+3.0°C	60-70 cm	8	0.587700567749685	0.244908126208712	0.0865880984049357	0.204748317387613
372	HM	+3.0°C	70-80 cm	8	0.313733955499067	0.205010614787153	0.0724821979656095	0.171393163118229
380	HM	ambient	0-10 cm	8	0.155130986995625	0.244501752919231	0.0864444237505929	0.204408580815615
380	HM	ambient	10-20 cm	8	0.73559022065559	0.26978963711756	0.0953850409498423	0.225549781069168
380	HM	ambient	20-30 cm	8	0.844379274550183	0.151236917132956	0.0534703248352305	0.12643722684593
380	HM	ambient	30-40 cm	8	0.788805788982384	0.132960622947018	0.0470086790583122	0.111157862536627
380	HM	ambient	40-50 cm	8	0.780145856258362	0.182766070957409	0.0646175640724027	0.152796259084454
380	HM	ambient	50-60 cm	8	0.741201293377032	0.27648569304669	0.0977524542271885	0.231147823918324
380	HM	ambient	60-70 cm	8	0.670081626801242	0.305119257808132	0.107875948133368	0.255086083119728
380	HM	ambient	70-80 cm	8	0.496518671100568	0.306867152980219	0.108493922397861	0.256547360052409
381	HM	+1.5°C	0-10 cm	8	0.0327108378248429	0.030685152663754	0.0108488397651425	0.0256534296103
381	HM	+1.5°C	10-20 cm	8	0.640990929550213	0.322589091338807	0.114052467011238	0.26969122944876
381	HM	+1.5°C	20-30 cm	8	0.875739565239214	0.137737556260205	0.0486975800278271	0.11515147872768
381	HM	+1.5°C	30-40 cm	8	0.899365527958684	0.120254311292992	0.0425163194910965	0.100535120157114
381	HM	+1.5°C	40-50 cm	8	0.813686695812003	0.203533655250341	0.0719600139136004	0.170158394045054
381	HM	+1.5°C	50-60 cm	8	0.850948356931193	0.0978728090815873	0.0346032634976834	0.0818237160508774
381	HM	+1.5°C	60-70 cm	8	0.83927061039893	0.134943788018465	0.0477098337934282	0.112815830027401
381	HM	+1.5°C	70-80 cm	8	0.534100704312837	0.20974302993482	0.0741553593867622	0.175349561191516
382	HM	+3.0°C	0-10 cm	8	0.11099066676316	0.150391264474089	0.0531713414704238	0.125730243530685
382	HM	+3.0°C	10-20 cm	8	0.683176943025488	0.343608506043502	0.12148395234837	0.287263899902297
382	HM	+3.0°C	20-30 cm	8	0.907008969985703	0.111703267877313	0.0394930690983728	0.093386268959842
382	HM	+3.0°C	30-40 cm	8	0.892106669186492	0.114378231521927	0.0404388115646396	0.0956225945313375
382	HM	+3.0°C	40-50 cm	8	0.905764239737368	0.0737567821099468	0.026076960394221	0.0616622129559995
382	HM	+3.0°C	50-60 cm	8	0.972528811336218	0.0298644508228079	0.0105586778466098	0.0249673057008491
382	HM	+3.0°C	60-70 cm	8	0.89128285499828	0.0784601953184035	0.0277398680814321	0.0655943648013389
382	HM	+3.0°C	70-80 cm	8	0.42481237098718	0.140991059491479	0.0498478671265505	0.117871475497616
390	HM	ambient	0-10 cm	8	0.283564502013479	0.248772377686225	0.0879543176169154	0.207978912469253
390	HM	ambient	10-20 cm	8	0.808662716507061	0.263856962859534	0.0932875238506316	0.220589941268244
390	HM	ambient	20-30 cm	8	0.801213766628881	0.242901052025975	0.0858784905224568	0.203070361379582
390	HM	ambient	30-40 cm	8	0.899114189571945	0.114074497379767	0.0403314253288403	0.0953686664338792
390	HM	ambient	40-50 cm	8	0.930464910156381	0.0670861475122111	0.0237185349147828	0.0560854228717455
390	HM	ambient	50-60 cm	8	0.880297194746421	0.195436683903459	0.069097302240374	0.163389156597225
390	HM	ambient	60-70 cm	8	0.779389770049577	0.213998289604002	0.0756598208706563	0.17890704730192
390	HM	ambient	70-80 cm	8	0.434613060995424	0.188772280666851	0.0667410798797902	0.157817576061243
391	HM	+1.5°C	0-10 cm	8	0.374177803208772	0.254330313677252	0.0899193447312433	0.21262546323883
391	HM	+1.5°C	10-20 cm	8	0.944901599402769	0.0530078688662442	0.0187411117657843	0.0443156873831843
391	HM	+1.5°C	20-30 cm	8	0.96742520762987	0.0366285768246281	0.0129501575289535	0.0306222565549102
391	HM	+1.5°C	30-40 cm	8	0.940415293088118	0.0655586208692901	0.0231784726909565	0.0548083786399167
391	HM	+1.5°C	40-50 cm	8	0.978258965980649	0.0295628673706965	0.010452051994569	0.0247151756252666
391	HM	+1.5°C	50-60 cm	8	0.943337068515466	0.0840453403493981	0.0297145150440954	0.0702636628975865
391	HM	+1.5°C	60-70 cm	8	0.746403737273873	0.23913079510551	0.0845455034048185	0.199918347714154
391	HM	+1.5°C	70-80 cm	8	0.363839013289806	0.191760702070979	0.0677976463997414	0.160315958877741
392	HM	+3.0°C	0-10 cm	8	0.155382704870189	0.203450554154917	0.0719306332395512	0.170088919790669
392	HM	+3.0°C	10-20 cm	8	0.777046371645287	0.394531830524197	0.139488066378801	0.329836864567096
392	HM	+3.0°C	20-30 cm	8	0.986948934312406	0.0194211917206299	0.00686642818219072	0.0162365226014283
392	HM	+3.0°C	30-40 cm	8	0.990896377664116	0.0067205443129982	0.00237607122849286	0.00561851565040607
392	HM	+3.0°C	40-50 cm	8	0.994137742875584	0.00532361196952584	0.0018821810620288	0.00445065098516195
392	HM	+3.0°C	50-60 cm	8	0.966911342667481	0.0328720059696204	0.0116220091661616	0.0274816847265394
392	HM	+3.0°C	60-70 cm	8	0.950756120869211	0.0577580171400617	0.0204205427938132	0.048286910720939
392	HM	+3.0°C	70-80 cm	8	0.662110625211553	0.184959296696574	0.065392986468821	0.154629841688253
