ID	Zone	Depth	Treatment	Subplot	Year	Tray	FW	DW	Muffle	OM_1	OM/FW	OM
381-05-A2	HM	5	+1.5C	A2	2021	21.15	24.266	23.173	23.015	0.158	0.050706033	5.0706033
381-10-A	HM	10	+1.5C	A	2021	21.15	22.294	21.837	21.764	0.073	0.063811189	6.3811189
381-10-A2	HM	10	+1.5C	A2	2021	19.769	22.168	21.342	21.247	0.095	0.039599833	3.9599833
381-30-A	HM	30	+1.5C	A	2021	19.752	23.252	22.074	21.942	0.132	0.037714286	3.7714286
381-30-A2	HM	30	+1.5C	A2	2021	17.773	22.474	21.276	21.104	0.172	0.03658796	3.658796
381-50-A	HM	50	+1.5C	A	2021	21.911	28.357	26.646	26.483	0.163	0.025287	2.5287
381-50-A2	HM	50	+1.5C	A2	2021	20.592	26.283	24.972	24.793	0.179	0.031453172	3.1453172
382-05-A	HM	5	+3.0C	A	2021	20.591	21.004	20.859	20.83	0.029	0.070217918	7.0217918
382-05-A2	HM	5	+3.0C	A2	2021	19.558	20.232	19.989	19.938	0.051	0.075667656	7.5667656
382-10-A	HM	10	+3.0C	A	2021	19.559	22.19	21.299	21.196	0.103	0.039148613	3.9148613
382-10-A2	HM	10	+3.0C	A2	2021	20.367	23.175	22.106	21.971	0.135	0.048076923	4.8076923
382-30-A	HM	30	+3.0C	A	2021	20.365	24.612	23.123	22.936	0.187	0.044031081	4.4031081
382-30-A2	HM	30	+3.0C	A2	2021	21.809	30.479	27.983	27.698	0.285	0.032871972	3.2871972
382-50-A	HM	50	+3.0C	A	2021	21.839	26.944	25.951	25.809	0.142	0.027815867	2.7815867
382-50-A2	HM	50	+3.0C	A2	2021	20.49	31.395	28.805	28.518	0.287	0.026318203	2.6318203
390-05-A	HM	5	ambient	A	2021	19.964	21.131	20.54	20.461	0.079	0.067694944	6.7694944
390-05-A2	HM	5	ambient	A2	2021	19.769	20.311	20.231	20.189	0.042	0.077490775	7.7490775
390-10-A	HM	10	ambient	A	2021	18.656	19.112	19.033	18.996	0.037	0.081140351	8.1140351
390-10-A2	HM	10	ambient	A2	2021	17.773	18.671	18.486	18.403	0.083	0.092427617	9.2427617
390-30-A	HM	30	ambient	A	2021	19.989	28.22	26.307	25.983	0.324	0.039363382	3.9363382
390-30-A2	HM	30	ambient	A2	2021	20.592	29.749	27.972	27.492	0.48	0.052418914	5.2418914
390-50-A	HM	50	ambient	A	2021	19.519	30.404	28.249	27.864	0.385	0.035369775	3.5369775
390-50-A2	HM	50	ambient	A2	2021	19.558	25.241	24.24	24.103	0.137	0.024106986	2.4106986
391-05-A	HM	5	+1.5C	A	2021	19.928	24.604	22.409	22.072	0.337	0.072070145	7.2070145
391-05-A2	HM	5	+1.5C	A2	2021	22.677	27.472	24.732	24.521	0.211	0.044004171	4.4004171
391-10-A	HM	10	+1.5C	A	2021	23.442	26.06	25.204	24.977	0.227	0.08670741	8.670741
391-10-A2	HM	10	+1.5C	A2	2021	19.89	24.804	22.412	22.243	0.169	0.034391534	3.4391534
391-30-A	HM	30	+1.5C	A	2021	19.443	25.839	23.975	23.683	0.292	0.045653533	4.5653533
