Year	Depth	Zone	Treatment	Plot	OM	Conductivity	pH
2024	50	LM	ambient	250			
2024	60	LM	ambient	250	3.956		
2024	70	LM	ambient	250			
2024	80	LM	ambient	250	3.545	5.24	8.063
2024	90	LM	ambient	250			
2024	100	LM	ambient	250	3.75		
2024	10	LM	+1.5C	251	7.681	7.99	7.659
2024	20	LM	+1.5C	251	5.726	6.01	7.726
2024	30	LM	+1.5C	251			
2024	40	LM	+1.5C	251	6.172	5.85	7.777
2024	50	LM	+1.5C	251			
2024	60	LM	+1.5C	251	3.05		
2024	70	LM	+1.5C	251			
2024	80	LM	+1.5C	251	6.203	8.15	7.885
2024	90	LM	+1.5C	251			
2024	100	LM	+1.5C	251	3.65		
2024	10	LM	+3.0C	252	7.028	7.91	7.695
2024	20	LM	+3.0C	252	4.962	4.94	7.741
2024	30	LM	+3.0C	252			
2024	40	LM	+3.0C	252	4.972	5.16	7.812
2024	50	LM	+3.0C	252			
2024	60	LM	+3.0C	252	4.616		
2024	70	LM	+3.0C	252			
2024	80	LM	+3.0C	252	4.108	5.37	7.918
2024	90	LM	+3.0C	252			
2024	100	LM	+3.0C	252	4.5		
2024	10	LM	ambient	260	8.844	5.82	7.374
2024	20	LM	ambient	260	5.123	5.69	7.533
2024	30	LM	ambient	260			
2024	40	LM	ambient	260	3.308	2.7	8.009
2024	50	LM	ambient	260			
2024	60	LM	ambient	260	2.408		
2024	70	LM	ambient	260			
2024	80	LM	ambient	260	6.175	4.15	8.084
2024	90	LM	ambient	260			
2024	100	LM	ambient	260	2.907		
2024	10	LM	+1.5C	261	9.201	7.53	7.632
2024	20	LM	+1.5C	261	6.118	4.91	7.521
2024	30	LM	+1.5C	261			
2024	40	LM	+1.5C	261	3.798	3.87	8.102
2024	50	LM	+1.5C	261			
2024	60	LM	+1.5C	261	3.353		
2024	70	LM	+1.5C	261			
2024	80	LM	+1.5C	261	3.46	2.17	8.133
2024	90	LM	+1.5C	261			
2024	100	LM	+1.5C	261	3.856		
2024	10	LM	+3.0C	262	7.924	6.08	7.465
2024	20	LM	+3.0C	262	5.06	4.8	7.866
2024	30	LM	+3.0C	262			
2024	40	LM	+3.0C	262	3.904	3.17	7.830
2024	50	LM	+3.0C	262			
2024	60	LM	+3.0C	262	4.415		
2024	70	LM	+3.0C	262			
2024	80	LM	+3.0C	262	4.058	4.11	7.854
2024	90	LM	+3.0C	262			
2024	100	LM	+3.0C	262	3.459		
2024	10	HM	ambient	370	11.473	4.91	7.725
2024	20	HM	ambient	370	6.156	3.78	7.737
2024	30	HM	ambient	370			
2024	40	HM	ambient	370	4.867	2.05	7.980
2024	50	HM	ambient	370			
2024	60	HM	ambient	370	5.414		
2024	70	HM	ambient	370			
2024	80	HM	ambient	370	3.952	4.05	7.999
2024	90	HM	ambient	370			
2024	100	HM	ambient	370	4.852		
2024	10	HM	+1.5C	371	7.592	4.1	7.877
2024	20	HM	+1.5C	371	5.01	2.87	7.571
2024	30	HM	+1.5C	371			
2024	40	HM	+1.5C	371	3.825	1.904	7.992
2024	50	HM	+1.5C	371			
2024	60	HM	+1.5C	371	4.413		
2024	70	HM	+1.5C	371			
2024	80	HM	+1.5C	371	3.713	3.35	7.941
2024	90	HM	+1.5C	371			
2024	100	HM	+1.5C	371	5.782		
2024	10	HM	+3.0C	372	8.551	3.61	7.817
2024	20	HM	+3.0C	372	5.253	3.31	7.474
2024	30	HM	+3.0C	372			
2024	40	HM	+3.0C	372	4.607	2.61	8.055
2024	50	HM	+3.0C	372			
2024	60	HM	+3.0C	372	4.55		
2024	70	HM	+3.0C	372			
2024	80	HM	+3.0C	372	3.806	3.18	8.132
2024	90	HM	+3.0C	372			
2024	100	HM	+3.0C	372	5.62		
2024	10	HM	ambient	380	8.404	4.93	7.879
2024	20	HM	ambient	380	5.753	3.86	7.793
2024	30	HM	ambient	380			
2024	40	HM	ambient	380	3.297	3.01	8.030
2024	50	HM	ambient	380			
2024	60	HM	ambient	380	2.994		
2024	70	HM	ambient	380			
2024	80	HM	ambient	380	2.498	3.08	8.072
2024	90	HM	ambient	380			
2024	100	HM	ambient	380	2.799		
2024	10	HM	+1.5C	381	8.99	4.87	7.828
2024	20	HM	+1.5C	381	4.607	3.19	7.968
2024	30	HM	+1.5C	381			
2024	40	HM	+1.5C	381	4.148	2.78	8.031
2024	50	HM	+1.5C	381			
2024	60	HM	+1.5C	381	3.912		
2024	70	HM	+1.5C	381			
2024	80	HM	+1.5C	381	3.009	2.19	8.171
2024	90	HM	+1.5C	381			
2024	100	HM	+1.5C	381	2.853		
2024	10	HM	+3.0C	382	8.981	5.71	7.803
2024	20	HM	+3.0C	382	5.261	3.75	7.848
2024	30	HM	+3.0C	382			
2024	40	HM	+3.0C	382	4.532	3.06	8.079
2024	50	HM	+3.0C	382			
2024	60	HM	+3.0C	382	3.409		
2024	70	HM	+3.0C	382			
2024	80	HM	+3.0C	382	3.407	3.4	8.193
2024	90	HM	+3.0C	382			
2024	100	HM	+3.0C	382	3.452		
