Zone	Depth	Treatment	Pre soil_1	Post LOI_1	OM
PZ	40	+3.0C	38.45	37.42	2.691807542
PZ	45	+3.0C	40.18	38.83	3.359880538
PZ	50	+3.0C	32.26	31.27	3.068815871
PZ	55	+3.0C	33.45	32.42	3.094170404
LM	5	ambient	27.76	25.6	7.780979827
LM	10	ambient	46.51	43.234	7.043646528
LM	15	ambient	35.47	32.842	7.409078094
LM	20	ambient	36.3	34.716	4.363636364
LM	25	ambient	34.18	33.028	3.370392042
LM	30	ambient	38.81	37.442	3.524864726
LM	35	ambient	30.56	29.282	4.181937173
LM	40	ambient	30.47	29.462	3.308171972
LM	45	ambient	30.55	29.47	3.535188216
LM	50	ambient	32.6	31.448	3.533742331
LM	55	ambient	28.52	27.53	3.471248247
LM	5	+1.5C	30.02	27.932	6.955363091
LM	10	+1.5C	30.53	28.766	5.777923354
LM	15	+1.5C	32.44	30.424	6.214549938
LM	20	+1.5C	30.28	28.912	4.517833554
LM	25	+1.5C	41.01	39.48	3.730797366
LM	30	+1.5C	44.62	42.964	3.711340206
LM	35	+1.5C	27.66	26.526	4.09978308
LM	40	+1.5C	33.68	32.114	4.649643705
LM	45	+1.5C	37.97	36.512	3.839873584
LM	50	+1.5C	32.1	30.804	4.037383178
LM	55	+1.5C	34.85	33.446	4.028694405
LM	5	+3.0C	35.28	32.796	7.040816327
LM	10	+3.0C	31.22	29.006	7.091607944
LM	15	+3.0C	31.68	30.222	4.602272727
LM	20	+3.0C	28.17	27.036	4.025559105
LM	25	+3.0C	28.12	26.626	5.312944523
LM	30	+3.0C	25.08	24.072	4.019138756
LM	35	+3.0C	33.92	32.57	3.97995283
LM	40	+3.0C	38.93	37.31	4.161315181
LM	45	+3.0C	32.15	30.998	3.583203733
LM	50	+3.0C	24.83	23.858	3.914619412
LM	55	+3.0C	41.08	39.514	3.812074002
HM	5	ambient	24.09	21.364	11.31589871
HM	10	ambient	33.48	30.841	7.882317802
HM	15	ambient	30.59	28.502	6.825760052
HM	20	ambient	24	22.579	5.920833333
HM	25	ambient	26.67	24.988	6.306711661
HM	30	ambient	29.53	27.471	6.972570268
HM	35	ambient	30.78	29.098	5.464587394
HM	40	ambient	38.06	35.827	5.867052023
HM	45	ambient	25.81	24.737	4.157303371
HM	50	ambient	32.59	30.995	4.894139307
HM	55	ambient	37.76	36.136	4.300847458
HM	5	+1.5C	26.41	23.945	9.333585763
HM	10	+1.5C	27.27	25.066	8.082141547
HM	15	+1.5C	25.3	23.618	6.648221344
HM	20	+1.5C	32.88	30.415	7.496958637
HM	25	+1.5C	28.13	26.013	7.525773196
HM	30	+1.5C	24.15	22.41	7.204968944
HM	35	+1.5C	27.47	25.295	7.917728431
HM	40	+1.5C	30.11	28.08	6.741946197
HM	45	+1.5C	36.14	34.429	4.734366353
HM	50	+1.5C	30.41	28.96	4.768168366
HM	55	+1.5C	30.96	29.945	3.278423773
HM	5	+3.0C	24.23	22.113	8.737102765
HM	10	+3.0C	27.96	25.698	8.090128755
HM	15	+3.0C	31.97	29.766	6.89396309
HM	20	+3.0C	23.15	21.497	7.140388769
HM	25	+3.0C	22.6	20.947	7.314159292
HM	30	+3.0C	31.89	29.657	7.002195045
HM	35	+3.0C	32.23	29.939	7.108284207
HM	40	+3.0C	44.44	41.888	5.742574257
HM	45	+3.0C	29.48	28.117	4.623473541
HM	50	+3.0C	48.88	46.937	3.975040917
HM	55	+3.0C	34.35	32.668	4.896652111
PZ	5	ambient	35.16	33.33	5.204778157
PZ	10	ambient	22.41	21.65	3.413654618
PZ	15	ambient	33.26	32.3	2.88634997
PZ	20	ambient	46.68	45.09	3.406169666
PZ	25	ambient	38.53	37.45	2.803010641
PZ	30	ambient	38.25	37.1	3.019607843
PZ	35	ambient	40.25	39.2	2.608695652
PZ	40	ambient	33.74	32.86	2.622999407
PZ	45	ambient	37.54	36.49	2.797016516
PZ	50	ambient	29.72	29.03	2.32166891
PZ	55	ambient	23	22.39	2.673913043
PZ	5	+1.5C	35.34	33.32	5.730050934
PZ	10	+1.5C	31.24	30	3.985275288
PZ	15	+1.5C	33.03	31.53	4.541326067
PZ	20	+1.5C	36.28	34.96	3.638368247
PZ	25	+1.5C	37.95	36.69	3.320158103
PZ	30	+1.5C	40.69	39.46	3.022855739
PZ	35	+1.5C	30.48	29.45	3.395669291
PZ	40	+1.5C	28.23	27.35	3.134962806
PZ	45	+1.5C	32.62	31.63	3.034947885
PZ	50	+1.5C	27.59	26.74	3.098948895
PZ	55	+1.5C	33.54	32.54	2.996422182
PZ	5	+3.0C	32.87	30.83	6.206267113
PZ	10	+3.0C	36.74	35.53	3.307022319
PZ	15	+3.0C	31.87	30.69	3.718230311
PZ	20	+3.0C	25.25	24.41	3.326732673
PZ	25	+3.0C	31.83	30.74	3.440150801
PZ	30	+3.0C	35.76	34.58	3.313758389
PZ	35	+3.0C	36.32	35.41	2.519273128
PZ	40	+3.0C	36.9	35.79	3.008130081
PZ	45	+3.0C	35.73	34.77	2.6868178
PZ	50	+3.0C	37.02	35.93	2.957860616
PZ	55	+3.0C	35.68	34.54	3.195067265
LM	5	ambient	25.09	23.128	7.819848545
LM	10	ambient	37.19	34.382	7.550416779
LM	15	ambient	36.73	34.12	7.105907977
LM	20	ambient	39.23	37.646	4.03772623
LM	25	ambient	35.53	34.072	4.103574444
