ASVs;JMG1;JMG10;JMG11;JMG12;JMG13;JMG14;JMG15;JMG16;JMG17;JMG18;JMG19;JMG2;JMG20;JMG21;JMG22;JMG23;JMG24;JMG25;JMG26;JMG27;JMG28;JMG29;JMG3;JMG30;JMG31;JMG32;JMG33;JMG34;JMG35;JMG36;JMG37;JMG38;JMG39;JMG4;JMG40;JMG41;JMG42;JMG43;JMG44;JMG45;JMG46;JMG47;JMG48;JMG49;JMG5;JMG50;JMG51;JMG52;JMG53;JMG54;JMG55;JMG56;JMG57;JMG6;JMG7;JMG8;JMG9;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV12:Bacillus.halotolerans;0;0;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;5112;0;3;0;3;0;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans
ASV14:Sva1033;730;678;496;1180;331;901;475;1152;1250;716;380;1642;354;350;344;134;275;121;286;351;388;404;564;182;367;194;270;203;326;158;0;5;9;898;34;15;64;172;197;166;288;230;211;356;700;808;253;450;18;1;175;57;146;1199;1266;1437;726;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;NA;NA
ASV16:Escherichia-Shigella.coli;36;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4400;0;0;1;13;0;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli
ASV20:Desulfobulbaceae;570;199;528;469;499;287;630;703;437;318;48;674;25;52;29;23;16;26;21;440;34;741;471;34;22;16;11;44;42;36;0;2;3;139;5;2;0;39;95;38;116;63;48;63;355;282;73;69;5;6;164;0;85;258;865;580;418;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;NA;NA
ASV27:Salmonella.enterica;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2723;0;0;1;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica
ASV28:Woeseia;971;1257;1268;1495;1520;1656;1029;1708;1464;1536;908;1705;850;934;1002;728;702;646;739;974;531;773;570;793;713;458;703;522;604;597;274;1004;750;1017;466;884;749;667;700;630;776;453;411;688;732;469;809;735;902;1367;468;210;431;2066;1754;1703;1169;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;NA
ASV47:Pseudomonas.aeruginosa;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2139;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa
ASV48:Bradyrhizobium.elkanii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;10;0;0;4;2;0;0;2;6;0;0;0;0;2;0;0;17;1;30;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;elkanii
ASV53:Persicirhabdus;8;17;13;20;0;10;5;29;8;4;0;31;1;0;1;0;0;2;0;0;0;1;7;0;4;0;0;0;2;0;0;1;1;26;1;1;0;0;2;0;1;1;0;3;2;0;3;0;1;1;1;0;1;43;19;19;10;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;NA
ASV58:Clostridium sensu stricto 13.estertheticum;3;0;0;0;1;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;0;2;0;8;0;0;6;6;9;7;14;31;5;0;11;10;8;0;0;45;0;35;0;0;0;0;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;estertheticum
ASV63:Limosilactobacillus;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;363;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA
ASV74:Listeria.monocytogenes;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;664;0;3;0;1;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;monocytogenes
ASV81:Enterococcus.faecalis;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;521;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis
ASV93:Geothermobacter;61;92;82;150;685;148;163;139;240;292;1448;104;889;1256;1066;1022;1020;979;753;1769;615;687;4;1644;1030;644;961;732;1287;1195;0;8;5;64;43;3;44;66;140;84;131;65;54;130;14;173;81;236;8;3;42;19;34;91;46;69;114;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geothermobacteraceae;Geothermobacter;NA
ASV108:Eudoraea;41;41;30;30;8;43;38;26;19;7;0;62;7;1;8;5;2;4;1;4;13;3;45;1;4;0;4;2;0;2;2;0;0;56;1;0;0;4;0;1;0;1;0;4;66;2;5;13;0;1;0;0;0;57;148;82;53;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Eudoraea;NA
ASV112:Robiginitalea;32;16;42;81;35;13;115;33;79;47;3;55;6;8;5;5;6;0;9;7;6;15;95;3;5;3;3;4;6;3;0;0;5;40;1;0;1;5;1;5;1;0;1;6;32;4;13;6;4;7;2;1;0;51;123;44;89;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;NA
ASV119:Desulfocapsaceae;180;202;104;296;49;218;67;308;70;85;147;274;64;124;63;21;20;40;17;102;63;94;263;39;105;49;92;69;88;41;0;2;4;94;19;0;9;4;10;9;4;30;17;21;194;37;18;43;0;1;33;2;27;196;296;252;127;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;NA;NA
ASV127:Psychrobacter.nivimaris;286;0;13;0;13;0;61;0;12;13;0;2;0;0;0;0;26;3;102;0;0;0;15;0;2;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;75;0;0;0;0;0;0;0;0;0;26;0;25;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;nivimaris
ASV129:Staphylococcus.aureus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;358;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus
ASV132:Escherichia-Shigella;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1527;2;2;0;5;0;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV151:Zeaxanthinibacter;34;17;30;22;487;11;76;14;82;112;745;29;866;635;883;679;719;595;521;581;242;65;0;556;577;702;587;721;573;556;102;399;446;32;262;456;296;369;387;354;402;300;317;398;14;297;372;327;391;568;259;83;254;12;86;10;86;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;NA
ASV175:Cyclobacteriaceae;218;132;309;186;638;154;187;218;386;283;506;317;570;501;537;819;542;669;830;707;277;411;143;758;631;734;606;669;570;558;146;802;540;292;331;573;589;521;610;493;501;431;376;801;129;476;648;583;635;935;442;249;359;240;393;214;252;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;NA;NA
ASV182:Bacillus.intestinalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;663;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;intestinalis
ASV188:Ilumatobacter;112;224;145;158;61;257;65;215;181;74;124;138;157;140;150;134;141;151;231;250;160;148;65;83;256;219;273;213;195;208;165;312;490;123;306;418;270;231;180;244;166;125;179;213;79;180;301;363;294;82;279;49;277;155;179;133;156;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;NA
ASV192:Oceanisphaera.donghaensis;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;10;0;0;2;4;0;2;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Oceanisphaera;donghaensis
ASV201:Roseobacter;156;108;157;163;37;88;255;117;178;34;30;304;36;39;28;24;35;16;65;51;69;12;61;27;44;11;35;15;8;16;0;0;2;216;5;5;0;3;1;5;0;0;0;6;92;8;30;30;2;9;2;0;0;175;365;136;181;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;NA
ASV227:Salmonella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA
ASV229:Gaetbulibacter.marinus;3;0;4;18;0;12;0;8;0;0;0;5;2;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;11;3;23;6;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gaetbulibacter;marinus
ASV235:Anderseniella;31;13;19;24;5;35;19;19;17;10;9;29;0;2;5;7;9;5;9;1;8;1;42;1;10;6;10;8;7;9;3;5;21;13;6;11;2;6;6;7;7;2;3;9;34;8;19;13;5;6;7;3;6;28;55;31;18;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella;NA
ASV241:Thiobacillus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;10;2;3;4;2;8;1;2;13;0;8;16;20;0;0;20;0;20;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Thiobacillus;NA
ASV272:SZB85;34;7;20;13;82;10;55;8;15;19;15;16;4;10;4;11;9;23;8;18;3;5;32;15;5;3;2;6;11;4;1;2;2;10;0;2;0;0;0;2;0;0;3;15;34;25;16;4;1;2;3;1;1;11;39;12;19;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;SZB85;NA
ASV274:Gillisia;19;0;16;3;0;0;14;1;10;4;0;1;0;0;0;0;11;0;5;0;0;0;15;0;0;0;0;0;0;0;1;0;6;2;0;4;3;4;0;12;2;0;4;2;25;0;4;0;11;0;4;0;0;0;25;0;38;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gillisia;NA
ASV276:Nitrospira.bacterium;92;4;73;15;376;18;132;19;160;226;211;29;208;188;223;191;182;136;153;121;80;109;20;188;94;105;122;102;131;115;31;118;68;17;52;99;83;168;157;164;178;124;126;181;51;108;162;182;234;180;112;31;82;12;62;13;105;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;bacterium
ASV296:Cutibacterium.acnes;0;1;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;2;0;0;3;0;0;0;2;0;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes
ASV297:Desulfosarcinaceae;127;28;77;68;48;50;112;48;54;39;8;128;2;5;3;1;0;3;0;14;0;25;143;0;4;10;7;6;6;0;0;0;0;15;0;0;0;0;6;2;3;1;1;0;108;2;1;8;0;0;4;0;0;24;113;78;51;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;NA;NA
ASV304:Anaerolineaceae;1021;131;591;273;627;168;856;351;344;977;196;322;230;167;287;79;138;220;98;598;114;832;400;470;128;285;128;245;245;102;6;78;91;99;139;25;175;162;246;165;350;297;315;613;341;352;460;287;47;53;738;59;646;183;359;225;445;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA
ASV305:67-14;45;34;26;25;87;52;51;62;24;51;85;28;66;100;87;80;190;66;82;67;30;80;23;56;42;67;29;62;25;68;40;72;78;23;125;55;63;86;89;68;74;75;117;96;44;21;53;70;47;11;100;3;77;20;27;24;15;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;NA;NA
ASV315:Psychromonas;1023;2;129;7;575;10;1738;3;748;304;103;58;290;73;320;133;169;219;147;664;282;28;1864;11;83;318;64;370;0;156;0;1;26;42;24;0;0;12;5;16;6;6;12;31;1063;27;16;38;3;10;3;3;1;41;3058;44;875;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;NA
ASV327:Sphaerospermopsis BCCUSP55;41;8;413;160;1;193;30;26;7;73;0;14;0;0;0;0;0;0;0;0;0;0;34;4;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;3282;27;625;3;Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Sphaerospermopsis BCCUSP55;NA
ASV340:Maritimimonas;6;3;2;14;0;9;1;12;2;0;0;9;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;34;0;2;0;0;0;0;0;0;12;13;20;0;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;NA
ASV351:Nitrosomonas;0;2;7;7;8;9;4;7;4;17;2;7;4;3;1;0;10;3;9;3;6;11;1;0;3;1;5;2;4;4;0;4;9;3;2;21;14;6;6;4;0;1;4;11;0;0;18;11;18;2;4;0;5;3;6;3;4;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;NA
ASV353:Boseongicola;21;15;50;24;1;20;14;21;17;4;0;37;4;2;8;7;2;1;3;2;4;2;16;0;7;4;10;1;4;2;6;10;12;50;12;40;9;1;9;8;15;2;0;25;21;5;24;17;3;9;7;8;3;66;53;39;30;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Boseongicola;NA
ASV360:Desulfosarcina;94;24;34;38;0;36;31;46;19;15;2;42;0;0;2;0;3;2;1;2;8;4;58;0;3;2;0;0;2;0;0;1;3;13;0;0;0;1;7;5;9;0;4;4;38;7;10;7;0;0;15;0;3;38;51;48;20;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina;NA
ASV361:Psychrilyobacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Psychrilyobacter;NA
ASV367:Chryseobacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;NA
ASV382:Hoppeia;56;36;40;97;33;24;14;35;51;36;220;121;376;239;368;153;145;163;216;315;143;33;15;171;522;203;508;194;323;277;23;507;431;50;240;140;151;228;223;254;251;153;167;256;37;434;350;798;229;280;269;124;260;50;135;75;62;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Hoppeia;NA
ASV386:Thiogranum;121;53;26;64;30;72;59;100;57;53;33;142;6;26;14;5;9;10;6;25;30;31;83;4;33;15;27;19;32;9;0;0;0;34;0;1;2;2;17;4;24;14;7;45;111;33;35;29;0;0;71;0;34;64;111;88;62;Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiogranum;NA
ASV396:Rhodomicrobium;18;1;21;3;110;3;11;0;8;20;60;4;79;77;102;139;209;135;161;152;16;68;4;117;150;232;155;246;206;127;130;587;370;0;309;598;648;354;343;308;371;282;311;365;37;213;280;473;689;287;395;93;330;0;10;0;17;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium;NA
ASV398:Candidatus Thiobios;13;18;3;17;0;25;8;25;10;14;0;25;0;3;0;0;0;0;0;3;7;0;9;0;3;0;2;0;1;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;7;0;5;3;0;0;2;0;0;31;25;36;7;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus Thiobios;NA
ASV408:Tenacibaculum.litoreum;25;0;17;3;56;3;59;10;361;139;49;3;52;37;46;45;43;60;87;16;22;39;4;17;62;59;59;58;27;42;0;88;268;6;260;4;130;109;162;119;185;98;74;51;28;53;222;171;22;44;122;69;132;27;98;3;31;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;litoreum
ASV421:Flavobacteriaceae;268;705;652;531;264;445;383;474;757;353;328;501;275;322;290;129;216;253;255;211;271;169;186;125;216;159;191;195;114;241;33;131;222;818;161;252;140;167;90;139;102;67;74;219;476;143;408;286;155;182;121;41;134;704;803;633;530;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NA;NA
ASV424:Marinobacterium.rhizophilum;2;1;3;4;173;1;13;6;1;45;233;7;248;212;272;207;64;234;83;383;105;97;5;204;153;108;172;128;4;212;20;135;190;2;77;57;70;26;54;15;59;56;23;10;4;66;120;108;8;89;20;8;27;11;2;3;7;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Marinobacterium;rhizophilum
ASV426:Kiloniellaceae;177;85;120;184;374;91;159;117;169;146;195;109;211;186;279;329;339;302;255;351;103;393;67;301;210;273;207;273;275;331;41;184;141;84;179;129;131;333;335;345;409;351;279;351;84;446;326;226;175;276;170;36;142;142;108;107;132;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;NA;NA
ASV427:Paraclostridium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;2;0;0;0;4;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paraclostridium;NA
ASV428:Rhodobacteraceae;182;189;291;315;221;183;200;184;289;133;224;318;338;262;304;391;298;324;432;327;338;139;49;278;327;210;296;182;158;287;129;240;440;373;191;454;112;204;209;182;234;152;112;336;204;139;523;401;323;368;171;34;115;367;383;224;258;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;NA
ASV441:Halioglobus;260;322;100;255;48;389;121;513;223;150;139;549;88;130;79;53;52;43;82;38;144;16;159;30;228;105;233;127;122;163;103;159;165;288;108;55;64;115;83;107;89;46;45;123;161;96;115;187;88;138;55;53;62;428;367;551;177;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;NA
ASV445:Cohaesibacter;150;17;74;13;123;34;77;10;89;100;71;30;87;66;93;79;64;109;100;151;85;105;24;117;50;48;57;51;69;49;6;24;23;24;8;22;14;18;24;22;27;12;12;59;78;20;52;52;34;33;14;0;19;17;70;10;83;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;NA
ASV462:Limibaculum;142;43;137;108;138;131;74;98;363;193;124;241;152;127;147;103;93;89;104;75;61;46;159;59;141;82;106;80;71;116;80;250;263;188;222;320;167;187;154;156;175;161;102;180;201;94;160;180;189;438;132;80;130;211;91;141;179;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum;NA
ASV483:Actibacter;20;9;21;42;5;7;33;19;21;4;0;25;0;2;0;3;2;0;3;0;0;3;47;1;3;1;0;0;2;2;1;0;0;19;0;0;0;1;0;0;3;0;0;2;27;1;3;4;1;2;0;0;0;32;34;49;29;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Actibacter;NA
ASV493:Lutimonas;32;22;25;94;7;21;16;50;30;7;2;44;6;2;0;4;1;0;2;2;9;0;70;0;0;1;0;5;0;5;0;0;2;42;3;4;0;3;0;1;0;0;1;0;70;4;0;10;0;0;1;2;0;54;57;80;26;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutimonas;NA
ASV496:Rhizobiales Incertae Sedis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;18;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;NA;NA
ASV523:SEEP-SRB1;975;12;830;23;158;10;958;42;192;254;1;82;1;2;5;0;1;2;2;42;5;181;553;2;0;0;0;0;0;2;0;0;0;6;0;0;0;2;19;1;27;0;0;83;1029;58;50;20;0;0;109;0;71;13;576;55;479;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1;NA
ASV532:Limibacillus;170;149;200;334;59;273;41;250;188;91;25;178;24;14;34;41;60;18;44;33;51;45;27;34;5;13;13;6;9;23;0;0;0;140;1;1;0;0;0;0;4;0;0;2;25;2;8;7;19;12;0;0;1;159;111;50;76;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Limibacillus;NA
ASV541:Ilumatobacter.nonamiensis;15;39;13;55;0;66;3;64;15;8;4;31;12;6;12;10;10;6;4;2;20;1;6;4;8;5;11;4;3;5;32;30;93;27;64;63;32;21;7;31;23;12;26;54;2;21;51;56;43;10;18;2;26;52;19;28;10;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;nonamiensis
ASV561:Blastocatella;84;22;25;21;20;14;33;37;96;25;18;62;120;27;65;59;38;64;62;153;58;79;5;67;70;100;78;82;62;67;78;59;138;49;77;107;92;64;92;100;104;68;77;50;12;43;114;67;66;136;72;24;72;48;70;31;42;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;NA
ASV574:Phenylobacterium;0;0;0;0;118;0;0;0;0;0;67;0;99;81;98;10;18;58;201;63;68;48;0;71;15;5;12;3;0;62;111;58;65;0;67;65;51;60;61;52;45;125;131;116;0;8;198;17;109;63;53;8;44;0;4;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;NA
ASV585:Sphingorhabdus.flavimaris;5;0;1;7;26;3;17;0;14;2;12;2;29;3;31;10;13;27;21;6;13;3;5;0;10;10;27;17;4;13;17;39;64;2;24;106;9;35;17;33;23;21;22;36;5;55;93;80;20;44;58;15;60;9;26;0;5;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;flavimaris
ASV590:Bauldia;74;29;84;29;279;64;103;68;220;243;252;48;249;205;261;223;279;204;185;317;101;198;24;272;189;179;197;207;177;138;45;132;113;29;136;91;127;165;164;158;139;138;113;162;79;142;141;133;126;151;179;25;153;17;96;29;89;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Bauldia;NA
ASV601:Erythrobacter.seohaensis;28;3;42;34;14;3;19;19;53;30;0;14;5;0;5;0;8;2;4;0;11;2;20;1;5;3;2;3;3;2;0;0;8;10;5;35;4;3;4;5;7;2;5;5;12;8;15;11;12;13;4;0;0;18;38;11;41;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;seohaensis
ASV622:Bacillus.nealsonii;5;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;5;4;38;7;118;0;12;19;20;12;25;13;102;0;4;33;0;256;0;44;58;128;56;122;75;189;263;2;58;33;70;7;0;142;10;124;0;3;0;0;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;nealsonii
ASV633:Pelagibius;38;42;43;32;99;78;24;34;74;67;177;61;133;170;131;109;67;90;57;123;60;138;20;152;111;68;89;82;84;155;32;122;187;38;97;78;121;53;93;46;122;95;77;82;46;152;139;145;60;173;111;22;117;26;46;37;42;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;NA
ASV647:Muriicola;3;0;2;4;0;1;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;2;2;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Muriicola;NA
ASV648:Desulfatiglans;94;15;36;40;16;15;40;36;16;19;0;32;2;0;1;0;1;1;0;18;2;20;74;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;3;0;0;9;46;13;2;0;0;0;3;0;0;10;40;29;14;Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;NA
ASV650:OM60(NOR5) clade;18;80;36;30;31;76;10;71;36;24;11;94;10;4;5;1;4;5;13;2;16;18;32;1;15;4;7;10;2;12;13;29;34;38;10;11;1;15;6;18;8;1;1;18;24;12;33;29;10;11;3;2;4;76;44;61;38;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade;NA
