sample_name	ID_num	ID	ID_RNA	Plot	Subplot	Depth	Zone	Treatment	Sampling date
X1	1	110(A2)0-5	A0	110	A	0-5 cm	PZ	ambient	13.09.2022
X2	2	110(A2)5-10	A1	110	A	5-10 cm	PZ	ambient	13.09.2022
X3	3	110(A2)20-30	A2	110	A	20-30 cm	PZ	ambient	13.09.2022
X4	4	110(A2)40-50	A3	110	A	40-50 cm	PZ	ambient	13.09.2022
X5	6	110(A2)80-100	A4	110	A	80-100 cm	PZ	ambient	13.09.2022
X6	25	111(A2)0-5	A0	111	A	0-5 cm	PZ	1.5	13.09.2022
X7	26	111(A2)5-10	A1	111	A	5-10 cm	PZ	1.5	13.09.2022
X8	27	111(A2)20-30	A2	111	A	20-30 cm	PZ	1.5	13.09.2022
X9	28	111(A2)40-50	A3	111	A	40-50 cm	PZ	1.5	13.09.2022
X10	30	111(A2)80-100	A4	111	A	80-100 cm	PZ	1.5	13.09.2022
X11	49	112(A2)0-5	A0	112	A	0-5 cm	PZ	3	13.09.2022
X12	49	112(A2)5-10	A1	112	A	5-10 cm	PZ	3	13.09.2022
X13	49	112(A2)20-30	A2	112	A	20-30 cm	PZ	3	13.09.2022
X14	49	112(A2)40-50	A3	112	A	40-50 cm	PZ	3	13.09.2022
X15	49	112(A2)80-100	A4	112	A	80-100 cm	PZ	3	13.09.2022
X16	73	120(A2)0-5	A0	120	A	0-5 cm	PZ	ambient	13.09.2022
X17	74	120(A2)5-10	A1	120	A	5-10 cm	PZ	ambient	13.09.2022
X18	75	120(A2)20-30	A2	120	A	20-30 cm	PZ	ambient	13.09.2022
X19	76	120(A2)40-50	A3	120	A	40-50 cm	PZ	ambient	13.09.2022
X20	78	120(A2)80-100	A4	120	A	80-100 cm	PZ	ambient	13.09.2022
X21	97	121(A2)0-5	A0	121	A	0-5 cm	PZ	1.5	13.09.2022
X22	98	121(A2)5-10	A1	121	A	5-10 cm	PZ	1.5	13.09.2022
X23	99	121(A2)20-30	A2	121	A	20-30 cm	PZ	1.5	13.09.2022
X24	100	121(A2)40-50	A3	121	A	40-50 cm	PZ	1.5	13.09.2022
X25	102	121(A2)80-100	A4	121	A	80-100 cm	PZ	1.5	13.09.2022
X26	121	122(A2)0-5	A0	122	A	0-5 cm	PZ	3	13.09.2022
X27	122	122(A2)5-10	A1	122	A	5-10 cm	PZ	3	13.09.2022
X28	123	122(A2)20-30	A2	122	A	20-30 cm	PZ	3	13.09.2022
X29	124	122(A2)40-50	A3	122	A	40-50 cm	PZ	3	13.09.2022
X30	126	122(A2)80-100	A4	122	A	80-100 cm	PZ	3	13.09.2022
X31	145	130(A2)0-5	A0	130	A	0-5 cm	PZ	ambient	13.09.2022
X32	146	130(A2)5-10	A1	130	A	5-10 cm	PZ	ambient	13.09.2022
X33	147	130(A2)20-30	A2	130	A	20-30 cm	PZ	ambient	13.09.2022
X34	148	130(A2)40-50	A3	130	A	40-50 cm	PZ	ambient	13.09.2022
X35	150	130(A2)80-100	A4	130	A	80-100 cm	PZ	ambient	13.09.2022
X36	169	131(A2)0-5	A0	131	A	0-5 cm	PZ	1.5	13.09.2022
X37	170	131(A2)5-10	A1	131	A	5-10 cm	PZ	1.5	14.09.2022
X38	171	131(A2)20-30	A2	131	A	20-30 cm	PZ	1.5	14.09.2022
X39	172	131(A2)40-50	A3	131	A	40-50 cm	PZ	1.5	14.09.2022
X40	174	131(A2)80-100	A4	131	A	80-100 cm	PZ	1.5	14.09.2022
X41	193	132(A2)0-5	A0	132	A	0-5 cm	PZ	3	14.09.2022
X42	194	132(A2)5-10	A1	132	A	5-10 cm	PZ	3	14.09.2022
X43	195	132(A2)20-30	A2	132	A	20-30 cm	PZ	3	14.09.2022
X44	196	132(A2)40-50	A3	132	A	40-50 cm	PZ	3	14.09.2022
X45	198	132(A2)80-100	A4	132	A	80-100 cm	PZ	3	14.09.2022
X46	217	240(A2)0-5	A0	240	A	0-5 cm	LM	ambient	14.09.2022
X47	218	240(A2)5-10	A1	240	A	5-10 cm	LM	ambient	14.09.2022
X48	219	240(A2)20-30	A2	240	A	20-30 cm	LM	ambient	14.09.2022
X49	220	240(A2)40-50	A3	240	A	40-50 cm	LM	ambient	14.09.2022
X50	222	240(A2)80-100	A4	240	A	80-100 cm	LM	ambient	14.09.2022
X51	241	241(A2)0-5	A0	241	A	0-5 cm	LM	1.5	14.09.2022
X52	242	241(A2)5-10	A1	241	A	5-10 cm	LM	1.5	14.09.2022
X53	243	241(A2)20-30	A2	241	A	20-30 cm	LM	1.5	14.09.2022
X54	244	241(A2)40-50	A3	241	A	40-50 cm	LM	1.5	14.09.2022
X55	246	241(A2)80-100	A4	241	A	80-100 cm	LM	1.5	15.09.2022
X56	265	242(A2)0-5	A0	242	A	0-5 cm	LM	3	15.09.2022
X57	266	242(A2)5-10	A1	242	A	5-10 cm	LM	3	15.09.2022
X58	267	242(A2)20-30	A2	242	A	20-30 cm	LM	3	15.09.2022
X59	268	242(A2)40-50	A3	242	A	40-50 cm	LM	3	15.09.2022
X60	270	242(A2)80-100	A4	242	A	80-100 cm	LM	3	15.09.2022
X61	289	250(A2)0-5	A0	250	A	0-5 cm	LM	ambient	15.09.2022
X62	290	250(A2)5-10	A1	250	A	5-10 cm	LM	ambient	15.09.2022
X63	291	250(A2)20-30	A2	250	A	20-30 cm	LM	ambient	15.09.2022
X64	292	250(A2)40-50	A3	250	A	40-50 cm	LM	ambient	15.09.2022
X65	294	250(A2)80-100	A4	250	A	80-100 cm	LM	ambient	15.09.2022
X66	313	251(A2)0-5	A0	251	A	0-5 cm	LM	1.5	15.09.2022
X67	314	251(A2)5-10	A1	251	A	5-10 cm	LM	1.5	14.09.2022
X68	315	251(A2)20-30	A2	251	A	20-30 cm	LM	1.5	14.09.2022
X69	316	251(A2)40-50	A3	251	A	40-50 cm	LM	1.5	14.09.2022
X70	318	251(A2)80-100	A4	251	A	80-100 cm	LM	1.5	14.09.2022
X71	337	252(A2)0-5	A0	252	A	0-5 cm	LM	3	14.09.2022
X72	338	252(A2)5-10	A1	252	A	5-10 cm	LM	3	14.09.2022
X73	339	252(A2)20-30	A2	252	A	20-30 cm	LM	3	13.09.2022
X74	340	252(A2)40-50	A3	252	A	40-50 cm	LM	3	13.09.2022
X75	342	252(A2)80-100	A4	252	A	80-100 cm	LM	3	13.09.2022
X76	361	260(A2)0-5	A0	260	A	0-5 cm	LM	ambient	13.09.2022
X77	362	260(A2)5-10	A1	260	A	5-10 cm	LM	ambient	13.09.2022
X78	363	260(A2)20-30	A2	260	A	20-30 cm	LM	ambient	13.09.2022
X79	364	260(A2)40-50	A3	260	A	40-50 cm	LM	ambient	13.09.2022
X80	366	260(A2)80-100	A4	260	A	80-100 cm	LM	ambient	13.09.2022
