1	2	3	4	5	6	7	8	9	10	11	12
171	41406	2575	8413	980575	815640	4331	1068389	393206	3602	1246117	1287806
145	50148	3804	7845	864757	514227	4235	914872	308062	3719	1257606	99422
143	64030	3037	7571	985210	674835	4204	917741	197093	3740	1716401	242817
171	96104	3313	7926	1123947	690056	4229	1136111	249991	3582	1492117	224919
163	86698	3205	3984	1334692	106462	3975	1263277	147526	3941	1281415	45388
149	111914	5368	3963	1192033	87637	3881	1096561	73056	4025	1170557	39367
157	139084	3012	3986	1067842	110418	4022	1068154	67361	3989	1177489	909614
181	176084	3526	3483	1145191	1275436	3912	1081433	52585	4269	1202227	49114
