1	2	3	4	5	6	7	8	9	10	11	12
136	2333650	31960	4319	1367343	2651774	3319	1754334	1887801	3120	1201839	808698
145	1891184	32214	4199	1343082	2621081	3226	1191518	1775076	3119	1103183	782824
139	2621527	31434	4166	1320396	2602105	3107	1337648	1781434	3159	1095890	809085
136	2368475	31575	4081	1314194	2549079	3196	1222948	1696323	3158	1230428	782351
139	2501073	30020	3489	1189249	785774	3164	1213674	265008	3777	1339157	430592
145	1750886	32384	3588	1049818	704685	3243	1094473	276410	3769	1034343	445539
144	1752947	31861	14474	966377	726562	3227	1021202	301603	3668	1035530	484674
139	1621236	32209	3729	1237390	796733	3385	1056256	324492	3705	1019809	492787
