1	2	3	4	5	6	7	8	9	10	11	12
125	67308	4632	8342	628254	2977386	8495	566845	4693594	5264	680367	913971
114	70472	4646	8225	654483	2511940	8077	509046	4420829	5216	676616	356871
128	65384	4302	8132	625400	2110232	8088	571487	4363622	5129	652256	378764
124	60051	4180	8125	629744	2572409	8046	589100	4208218	5282	614363	379356
107	38664	2598	5346	816475	100378	5337	717089	276470	3781	833920	89333
112	34121	2234	5294	827686	115453	5541	707363	238372	3788	854241	76418
124	35171	2036	5036	810993	105467	5416	735070	307732	3764	886047	74173
112	29044	1828	5224	809668	109404	5216	752196	264973	4166	859450	71814
