1	2	3	4	5	6	7	8	9	10	11	12
139	2659290	32286	4466	1893860	4800140	3900	2108689	3464940	3186	1530420	1657021
137	2932969	32611	4364	2362797	4081997	3773	1989796	3278087	3183	1633119	1750512
155	2447214	31340	4186	1603110	3824361	3874	2290677	3223545	3168	1974295	1602361
136	2704346	30562	4291	1551363	3758254	3851	2194566	3159453	3106	1902020	1645879
160	2385336	28846	2636	2155703	1018675	2931	3312226	520144	3116	1752155	657901
171	2469940	28277	2783	1883705	927748	2858	2229998	515407	3097	2264373	610511
143	1771137	27368	2778	2542612	990989	3080	2769054	504241	3235	1787622	594182
154	3537090	26554	2768	3037733	1047881	2899	2283538	552830	3321	2159648	585422
