1	2	3	4	5	6	7	8	9	10	11	12
233	3222260	29558	7818	2378261	3548014	7220	2601181	2066050	6479	2641448	1778856
138	2887504	29699	7265	1999711	3207010	6968	1751279	1982643	6305	2293503	1759408
152	3609352	29100	7308	2299311	3386400	6890	1294275	1942368	6228	1946453	1668938
129	2887045	28157	7065	1946250	3357126	6869	1419193	2023804	6128	2130308	1749010
194	2421783	28042	6090	1486071	994773	5305	1619611	1164213	5272	2138748	684280
118	2716857	27817	6299	1614180	957090	5956	1680817	1211791	8580	1934157	632462
177	2456959	27748	6498	1620515	984173	5407	1491785	1115182	5350	2208767	609556
215	3007284	27657	6575	1805138	998399	5802	1504509	1022504	5649	2571408	696035
