1	2	3	4	5	6	7	8	9	10	11	12
127	56811	866	6250	1490357	811114	4546	962970	536724	4322	1719093	154918
141	63568	907	5964	1334531	748920	4251	580076	242616	3851	1642953	78953
137	59334	1033	6096	1331820	601551	4412	859340	238512	3751	1386662	66798
166	57153	876	6093	1236648	1391485	4105	826703	263533	4277	1573668	91635
180	58275	827	3287	1606624	357141	4653	1795145	54791	3209	1831535	20030
138	62864	843	3308	1543839	463766	2923	1777876	36280	3196	1830904	21023
169	56080	803	3214	1709312	121261	2985	1811223	105990	3121	1807102	18533
140	51833	711	3650	1611415	90564	3464	1720453	76524	3319	1731222	20837
