1	2	3	4	5	6	7	8	9	10	11	12
155	2444652	29345	7114	1584283	3995820	7425	229241	2477120	6375	1800085	3464491
415	2471943	29679	7126	1892690	4034961	7276	8579	2500662	5530	1587436	3447361
139	2462198	29580	7150	1362696	4044803	7197	8619	2287429	5390	1567432	3373449
144	2707311	28960	6991	1694223	3875315	7089	8644	2351936	5316	1533622	3491069
130	2503064	27899	5134	1721117	819120	4744	5246	1862204	5172	1739024	1910928
128	2685456	28154	5153	1649099	788799	4725	5313	1817156	5280	1815532	1889917
158	3212568	27661	5429	1707127	819020	4720	5308	1956441	5211	1789572	1961648
834	2607334	27217	5248	2158284	836875	4674	5381	1896679	5207	2268799	1969197
