1	2	3	4	5	6	7	8	9	10	11	12
243	1585133	40442	7450	956048	4148660	6041	1292764	4158974	6666	997236	3709722
140	1581780	38543	7843	806433	4134726	5847	1925235	4093429	6874	1293980	3739424
138	1576178	35563	7451	854219	3965242	5847	1477772	3824188	6540	934209	3690627
132	1489346	35076	7862	771382	4197723	6020	1198664	3884966	6829	1174258	3544213
127	1609884	35248	5580	995350	2425962	4016	2371273	1343758	4888	891851	1429384
148	2513695	34808	5660	1230458	2439218	4089	2462611	1370913	4731	770403	1428539
152	3822992	34519	5488	967910	2507298	4288	2797956	1361585	4862	806733	1407745
149	1582076	33258	5665	1842497	2472115	4371	1960749	1344102	4803	1322047	1426696
