1	2	3	4	5	6	7	8	9	10	11	12
149	3291097	29207	6582	1694278	4022503	6632	1876373	3911205	5117	1661999	2762384
134	2481901	27866	6478	1402764	3994315	6472	1515623	3750657	4766	1505246	2682007
214	3006080	26873	6433	1328065	3894464	6523	1312558	3727775	4795	1425548	2668472
149	2309188	28235	8268	1389456	3744285	6579	1344515	3420579	5920	1487086	2706632
145	2693485	27248	4848	1072141	1676250	4562	1257020	1641462	5849	1213401	1292614
128	2305344	27348	4613	1126892	1841583	4666	1338589	1923717	5852	1252728	1329124
489	2571986	25892	4771	1141226	1902905	4825	1352610	1892054	5949	1272062	1309608
151	2301627	27172	4925	1152505	1779970	4766	1379404	1938655	7665	1394647	1323808
