1	2	3	4	5	6	7	8	9	10	11	12
152	1425270	351683	3578	1051355	4302688	3415	1138888	4271708	3393	1076237	3950166
127	1423450	672605	3473	961253	3953283	3390	1085714	3463735	3198	1043552	3830675
161	1404812	2647386	3546	986805	3773613	3264	1091657	3583351	3162	1128236	3263880
146	1421004	866786	3567	1029407	3804376	3250	974551	3426821	3167	1087162	2590334
134	1423864	681811	3446	1057952	2463658	2915	634991	1175596	3625	1029126	2139463
135	1493240	609163	3329	1121115	2548908	3007	692574	1392779	3800	1060574	2007191
139	1705477	824613	3437	1165977	3056018	3711	678006	1157931	3661	1083947	2344346
137	2343663	413879	3619	1226182	3692144	3491	768681	1499169	3956	1158301	3264370
