1	2	3	4	5	6	7	8	9	10	11	12
292	1058350	1613	5874	1416842	6891235	3820	1697181	5314920	4207	1444725	2165601
260	1126403	1853	5984	1531532	6719946	3650	1639488	4125308	4241	1457806	1779636
254	1148743	5545	5821	1494324	6606334	3536	1645948	4074777	4270	1558089	1704861
233	1150717	2428	5979	1539527	6629316	3468	1702887	4323171	4176	1481378	1649317
264	1124411	2284	4065	1915578	3156413	4173	1517403	773053	3647	1704077	185748
279	1384137	1782	4021	1942748	2821189	3990	1602357	761135	3572	1740756	171722
269	923075	4269	4118	1993004	4758	4273	1446798	761402	3546	1753964	213373
243	830531	2570	4168	2029490	2937567	4421	1495535	831940	3644	1790885	186308
