1	2	3	4	5	6	7	8	9	10	11	12
161	1639596	36496	6032	867888	4988957	5435	983128	3915269	5322	949607	3820164
136	2716989	36349	5566	1149158	4171912	5351	833199	3885751	5119	1244368	3883704
128	1662691	35851	5707	868559	4093347	5484	708209	3998437	5085	939997	3850694
189	1788290	35452	6065	813941	4181821	5693	681684	3906968	5048	871824	3674962
124	1623451	36226	4344	754131	2444290	3438	1023306	4406683	96	96	98
125	1556511	36500	4584	818369	2664637	3636	1041504	4241027	107	110	87
132	1571001	34140	4526	769905	2477920	3521	1011318	4525746	97	86	98
146	1604131	34592	4551	750706	3078450	3689	1043140	4491741	103	97	89
