1	2	3	4	5	6	7	8	9	10	11	12
170	2977106	31297	7153	2230614	3877916	6672	2492678	3587613	7664	2018125	3432115
146	2827805	31648	7008	1804226	3602945	6555	1987187	3364906	7505	2460866	3295264
137	2652851	29469	6819	1661399	3473778	6330	1776766	3316411	7212	1795828	3283829
144	2613913	29614	6757	1799553	3557441	6131	1670609	3303989	7326	1596630	3109241
145	2504168	27358	6285	1800245	2668310	4766	1987765	978283	6079	2003244	1058686
168	2554084	30096	6303	1720049	2653219	4811	2501940	991632	6065	1612951	1037331
154	2596229	28611	6469	1765732	2585774	4759	2113254	1113193	5906	1563297	618314
150	2444505	27138	6346	1607794	2772419	5000	2698181	1117145	6122	1690553	1054797
