1	2	3	4	5	6	7	8	9	10	11	12
158	59979	1099	6773	1497988	3200889	5114	1492253	3033828	4470	1744121	2183177
148	64758	1171	6539	1392629	3050364	4618	1382730	2716334	4258	1637569	1865598
133	65985	1251	6353	1467839	2971335	4690	1368580	2824080	4065	1579399	2014901
123	64566	1120	6678	1490167	2787257	4848	1307165	3084103	4027	1556792	2190498
125	55474	947	107	109	103	4829	1675017	1563117	3846	1597498	644413
132	59399	912	111	108	119	4623	1633893	1203299	3982	1687548	452606
139	57818	8120	104	113	106	4645	1653614	924375	3853	1636732	496302
127	68408	853	102	108	119	4907	1750088	1067880	4027	1720139	734673
