1	2	3	4	5	6	7	8	9	10	11	12
132	86416	1090	5139	1803101	2473250	4441	1217834	208354	3016	1077773	31481
116	79307	1097	5119	1739085	1552694	4477	1298366	252638	3038	1034445	35286
126	81266	1128	5046	1690244	1980838	4480	1308305	241171	3259	1100801	49892
156	73621	1053	5061	1656815	1650636	4267	1263065	251622	3062	1094148	44782
118	72648	954	3128	2315699	32641	3266	2063517	39597	3362	2100482	40562
222	73825	869	3265	2081011	166156	3179	2014252	43918	3435	2070610	46186
125	63203	830	3370	2245160	37993	3150	2030160	44333	3608	2139047	52699
115	64440	859	3152	2383332	43443	3061	2126638	42237	3579	2144369	42517
