1	2	3	4	5	6	7	8	9	10	11	12
231	1616810	31168	7163	1069616	3262404	7526	970739	3126339	4809	1104132	1864550
209	1595429	29752	6774	1017750	2874270	6843	965086	2961578	4813	1136193	1858441
234	1588040	42476	7057	901722	2793441	6409	914835	2744941	4594	1111710	1817394
225	1560984	37197	6675	973350	2910346	6683	944492	2839830	4807	1082706	1699081
339	1435963	60261	5370	1076960	2052252	4397	937546	982884	4087	1142736	308098
244	1693355	58629	5561	949144	2194110	7468	1024632	855119	4258	1203321	328104
234	1582705	60946	5789	943084	2040234	4701	1029693	862372	3968	1216995	317024
259	2579587	64368	5798	1014340	2053132	4815	1021043	904199	4574	1201615	310582
