1	2	3	4	5	6	7	8	9	10	11	12
144	891557	35683	6973	818272	3791841	6818	623345	4642589	5962	595661	4617817
137	941935	36400	6845	632047	3699792	6181	1117504	4511130	5958	1000598	4281728
147	879498	35751	6924	415598	3821888	6630	505948	4337781	6120	480794	4483834
148	929544	35839	6749	1417296	3893562	6778	502005	4278782	5696	523889	4505125
140	964137	33567	5900	475519	4558419	5324	567474	4346434	4276	633612	2791422
163	936335	33082	6061	514088	4476429	5303	612789	4422144	4330	699953	2841612
133	910569	35536	5971	555022	4648451	5482	564920	4462674	4387	622563	2853866
148	924014	33654	6149	492611	4782476	5314	451607	4383784	4308	613894	2808580
