1	2	3	4	5	6	7	8	9	10	11	12
164	58511	11321	4703	612667	1061730	3862	455726	1277264	2949	544236	1179366
157	200034	9641	3521	483518	953803	3208	458980	791229	3023	491828	626678
161	123468	15292	3458	428336	691004	3520	450633	728843	3091	545274	537597
167	102794	6687	3531	423336	994434	3422	402296	642167	3069	516257	655697
153	182012	15230	2876	534203	428184	3599	709497	231786	3578	676314	126280
142	80929	7814	3471	518459	293722	3765	712430	117948	3524	863144	114033
151	116956	8036	3232	559318	391255	4105	741333	137796	3268	712460	148665
175	216402	13665	3495	593113	518242	3527	748342	170463	3676	873259	240088
