1	2	3	4	5	6	7	8	9	10	11	12
132	50761	2773	3958	1452295	1108551	3518	1234340	151726	3962	1740351	228753
146	51598	2623	3755	1361753	1184315	3221	1035570	152003	3494	1632490	206541
132	48937	2353	3754	1449194	1102284	3054	993291	177810	3439	1648910	162848
157	48602	2699	3637	1192920	1298746	2794	1028468	186071	3385	1572318	211925
127	51273	3033	4006	1269795	140382	2928	1695724	117654	2401	1702674	112376
137	51195	3299	4004	1237256	146299	2934	1704697	134391	2321	1728649	117760
122	54403	3059	4138	1350250	144885	2871	1704033	124424	2360	1785197	116876
163	52380	3421	4154	1447421	149438	3182	1708464	133037	2536	1886599	125860
