1	2	3	4	5	6	7	8	9	10	11	12
137	72712	955	8716	1480101	4784965	6741	1446308	4997250	6714	1569104	4874040
119	63565	979	8031	1461574	4588835	6827	1432420	4501705	6234	1462771	4731400
134	63541	942	7832	1470979	4619620	6766	1419805	4282200	6035	1469961	4739109
138	65752	904	8144	1472385	4585171	6843	1380881	4577294	6518	1698590	4605073
126	73501	930	6208	1412374	4088894	4632	1707287	2776935	4217	1933037	1757369
139	115387	904	5971	1461592	4405865	4746	1709400	2571097	4234	1932361	1653467
123	63919	889	5841	1531699	4355645	4821	1697833	2698298	4288	1969494	1597688
119	64452	834	6271	1443118	4799078	4932	1327479	3043431	4271	1863268	1558259
