1	2	3	4	5	6	7	8	9	10	11	12
148	1739405	27146	6300	2002579	2699377	6025	1198254	3191641	5774	1125630	2699274
140	1751308	26806	6065	965556	2538285	5822	1163285	3076143	5606	1116244	2606334
146	1739112	26651	5826	916320	2500785	5590	1128938	3045157	5760	1081843	2468979
170	1735340	26784	5890	919287	3061075	5888	1136139	2893095	5540	1044440	2435673
162	1739131	26650	5502	1036481	2923301	4104	1324927	2087565	7846	1149609	2507145
146	1741639	26848	5605	1027071	3028618	4105	1382712	2107917	6428	1147371	2423292
138	1764414	27035	5321	1044963	2853769	4319	1380951	2115001	6322	1177971	2509874
146	1746351	26561	5516	1097301	2891168	4187	1410606	2184806	6608	1243621	2495799
