1	2	3	4	5	6	7	8	9	10	11	12
1078	2168661	3694	6368	565961	5355614	5641	576250	4907435	5188	848217	3997446
1073	2309220	3953	5606	678342	5713240	5905	673772	3884257	4916	861829	3372364
1012	2319761	4020	5551	698233	5703017	6017	684858	3690120	4902	923140	3559901
1367	2400114	4781	5864	732226	5788934	6060	703086	5083696	5013	943455	3458426
1050	2499299	4256	4477	1031473	700006	4447	1430227	2480422	4538	1092677	1905340
1079	2528986	4464	4624	1035865	879215	4514	1432867	2436214	4436	1146475	1842730
1026	2408120	4385	4574	1066341	816240	4550	1482896	2333190	4390	1137331	2022491
987	2313040	4304	4665	1064076	712596	4458	1473554	2397936	4444	1204147	1674952
