1	2	3	4	5	6	7	8	9	10	11	12
125	62083	7920	6167	1041420	2589027	5908	1487922	2085070	5694	1536765	1689253
138	62863	8392	5634	1129786	1623776	5705	1430057	1502924	5451	1417955	1494260
125	57231	7904	5597	1344448	1586304	5311	1389125	2154706	5398	1431951	1600146
140	57272	7252	5439	1378025	2603624	5584	1416323	1992352	5080	1471227	1553149
123	54110	6020	3348	1381907	323325	3475	1554715	258083	3508	1514990	122334
140	58058	3221	3414	1373451	298276	3505	1485933	216405	3524	1541805	107567
211	55697	3422	3414	1388222	232289	3472	1644535	153306	3528	1588822	128256
131	48024	3185	3580	1466252	451530	3708	1574829	177789	3682	1569035	114929
