1	2	3	4	5	6	7	8	9	10	11	12
112	248454	45334	6901	1078341	2819486	5511	1095790	3255365	4173	1432160	2476507
116	238489	39297	6684	1045446	2538428	5496	1022385	2461599	4157	1435915	1985473
138	427931	42257	6589	935725	2389479	6050	954753	2267107	4235	1453185	1919174
144	268222	33544	6087	984643	2275376	5475	1016782	2143243	4099	1404388	1868451
132	468875	19256	4047	1725094	419081	3351	1684175	372858	3124	1824615	783036
146	320849	18091	4316	1734886	488717	3458	1638171	380779	3140	1792910	807493
138	118557	10970	4364	1746685	452315	3504	1664860	423153	3354	1842965	864463
140	208948	14841	4405	1700862	507262	4069	1643439	468296	3721	1900707	824308
