1	2	3	4	5	6	7	8	9	10	11	12
153	1681875	26856	7729	938847	4100977	6775	817500	3853896	9811	968994	4435459
145	1706151	26849	7046	842214	4995451	6526	808662	3706958	8873	980096	4358236
134	1698933	26459	7141	796456	4110602	6579	794527	3556697	16649	968411	4129162
151	1669452	25508	7110	793699	3869619	6282	776009	3283590	9190	899768	4203879
129	1674534	26465	5151	1172279	3594148	5048	1192745	2760991	3664	1135505	2583540
136	1714096	26681	5137	1151313	3567357	4827	1216769	2566549	5658	1143928	2526751
149	1706814	27098	5037	1159620	3677235	4672	1221538	2712688	3662	1183457	2538871
135	1663410	26394	5155	1149720	3645925	5279	1268051	2792998	3610	1206512	2571156
