1	2	3	4	5	6	7	8	9	10	11	12
1102	396144	9878	3481	2363966	2120694	3354	2030213	1039318	4554	2383503	298047
127	401025	8154	3184	2404974	1616475	3243	2052711	949076	4249	2231093	275378
131	429462	8008	3395	2284101	1332263	3506	2019985	902241	3882	2187061	279424
129	373964	29754	3396	2415994	2063442	3544	2018333	1157941	3879	2166012	397332
149	248162	10839	4676	1883789	452974	4711	2335757	1196105	4304	2398807	111667
129	171506	4813	4815	2070288	392710	4770	2286831	926068	4118	2324597	116150
154	152868	3340	4790	2250738	369938	4745	2313911	927417	4112	2319358	104077
149	160026	2917	5094	2335788	413016	5051	2316945	970494	4250	2356195	132889
