1	2	3	4	5	6	7	8	9	10	11	12
723	75430	2873	5780	908367	5412550	7091	762895	4833749	6152	1021020	4968508
229	78553	3595	5791	971621	4848864	7472	753883	4444131	6276	1039606	4618708
224	100845	3421	6156	940638	4673426	6941	768062	4463638	6435	1074793	4988296
224	83996	2783	6250	1243065	4717873	7044	833681	4506762	6549	1118775	5058926
867	102917	2494	5781	1303287	4173418	4942	1199386	2252901	4874	1693528	739952
294	66548	1956	5984	1077122	3615754	5211	1240280	1750910	4718	1974249	548344
275	68553	3762	6039	800769	3497811	5238	1224569	1714701	4749	1703799	602815
247	98792	1680	6069	1294269	3807174	5279	1651402	1770817	4753	1415539	554342
