1	2	3	4	5	6	7	8	9	10	11	12
268	1637984	33132	7905	1009962	4384821	5706	1290167	4081604	5105	1075284	2509262
277	1624776	47897	7137	1028367	3731769	5456	964890	3862966	119926	1016042	2208888
262	1604152	33942	7069	939083	3651983	5160	1346414	3916001	4676	994672	2270779
278	1573613	39333	7052	981422	3597200	5339	989497	3906323	4628	986468	2257649
322	1522744	33021	4571	855453	2473045	4405	1059359	2218062	4461	947268	756143
291	1520305	40852	4716	910374	2488940	4379	1140800	2179249	4412	1089792	799249
316	1545718	35494	4646	986572	2445605	4493	1038561	2364961	4208	1034595	828682
323	1583015	49929	4833	1011649	2541997	4621	1046057	2192679	4638	1038993	814418
