1	2	3	4	5	6	7	8	9	10	11	12
159	58607	968	7475	1143162	4657028	7943	764043	4299847	4305	1045922	447538
165	49417	943	7894	1155082	4175503	7758	1011244	3572685	4205	832355	589648
146	69370	1923	7572	1097350	4352739	7433	1020362	4024381	4305	927370	497336
138	50688	1068	7516	1122701	4162111	7787	811787	4095076	4284	1001021	351098
133	56598	832	4257	1357015	548044	4231	1222249	247239	3508	1633762	82258
149	58655	714	4285	1310308	236580	4376	1091946	326390	3298	1720258	76057
150	57758	702	4503	1512174	267178	4263	981610	213145	3335	1689446	63735
149	52336	659	4721	1285307	350883	4748	957174	250001	3603	1619880	110081
