1	2	3	4	5	6	7	8	9	10	11	12
126	85730	2351	6926	2569878	1280910	6382	2584282	1010259	5212	2553188	432109
209	75549	2409	6869	2493704	1244331	6024	2555703	1101315	5022	2491512	387500
112	71162	2372	6499	2508486	1092942	6294	2364454	891630	4995	3712792	292262
99	72289	2465	6442	2569886	1066924	5950	2420800	1085086	4979	2462250	398802
115	70512	2475	4903	2381394	358488	4752	2423452	762004	4026	2526721	156840
99	69620	2421	5355	2362296	328204	4989	2456063	888158	3952	2507099	165706
133	65954	2420	4986	2350628	463145	4816	2501005	676939	4074	2572604	176407
131	75402	2349	5186	2429434	401830	4833	2563275	716857	3986	2513470	201380
