1	2	3	4	5	6	7	8	9	10	11	12
238	56754	1375	4048	976250	4338640	3674	1186499	4218974	4072	1690228	4614942
195	55652	1158	4091	942705	3958834	3603	1149913	3406462	3896	1672405	3982406
196	56508	1114	4188	967198	3949699	4540	1167676	3511902	4081	1691792	4032322
203	56906	1192	4392	1045638	4141264	3778	1245759	3561062	4094	1710406	4061249
228	54977	903	3875	1826184	3436492	3486	1647021	2137501	4199	2096790	788033
204	45571	877	3856	1894676	2777461	3555	1699000	1393179	21938	2309399	635527
195	54968	896	3970	1929956	2994302	3664	1722172	1513759	4290	2220623	578751
185	55524	841	4060	2026494	3735892	3901	1780112	1871535	4338	2258520	817687
