1	2	3	4	5	6	7	8	9	10	11	12
331	1765072	36616	4342	1133561	3553696	3946	1250985	3379629	4137	1006792	1196895
373	1736905	38609	4533	1023907	3192691	3936	1246145	3070641	3540	1029911	1249151
322	1715150	37185	4340	957963	3100551	5476	1198807	3200724	3603	760153	1119061
276	1695035	37740	4531	947956	3964190	3633	1105748	3295823	7891	737973	1066593
247	1661297	35441	3975	970165	859229	2969	932478	754648	3092	1057968	383592
257	1777248	33097	4003	873129	953184	2860	989413	760721	4117	1103033	382497
172	2074039	36509	4049	964481	1089921	2920	1007707	699391	3139	1131272	503137
333	1767342	32457	4286	957238	866982	3713	1007056	727610	3290	1164686	415077
