1	2	3	4	5	6	7	8	9	10	11	12
171	1719531	29944	8421	932600	2987996	7409	1047606	1750999	4627	1182111	1440588
158	1763342	29280	7759	842858	2936190	5453	976230	1683468	4483	1126743	1338807
151	1707738	29608	7576	856087	2989656	5400	1033920	1671184	4451	1135501	1289163
372	1716793	30183	10019	882408	2946231	5351	967059	1659256	4477	1144593	1488982
350	1692136	30149	3564	886429	1280736	3715	1043440	796127	5618	1027292	502656
179	1868313	29715	3646	861259	1315159	3997	1039376	712353	4660	1057580	456221
216	1697575	30182	3700	917390	1309321	3616	1038155	695723	4094	1070046	433783
186	1898030	30924	3755	986818	1316217	4972	1097781	706093	4377	1282657	430200
