1	2	3	4	5	6	7	8	9	10	11	12
127	1795780	90888	5935	1130545	4370818	5678	1128714	4407530	5737	1170592	4286179
118	1829028	158044	5826	1103316	3921908	5518	1089185	4397930	5958	1050707	4227601
128	1834501	96766	5577	1074416	4338132	5361	1047494	5044918	5781	1144775	4135024
114	1824614	117410	11096	1001298	4062801	5578	1102528	4459669	5598	1140244	3968308
113	1784891	66251	3991	823619	2496814	3490	1055554	1985657	3602	1322118	1323983
106	1799440	88823	3920	855673	2620659	3474	1039238	1959523	5234	1096904	1347540
120	1807289	59976	4245	882370	2792151	3646	1085468	2455231	3750	1322079	1364224
130	1829526	42231	4161	905323	2767203	3738	1170999	2363650	3927	1256487	1413160
