1	2	3	4	5	6	7	8	9	10	11	12
123	738730	32015	6962	396238	4681966	6951	2541119	4942246	4949	923134	4457896
161	769940	32886	7240	375820	4630908	6840	1830975	4798092	4820	690306	4426419
134	1068534	32498	7449	535852	4699984	6712	484958	4622367	4872	1681022	4317937
125	761371	32211	6610	397683	4717843	6872	446401	4549475	5055	519454	4232845
140	756274	32690	5102	469248	3362142	5391	620009	2971069	5165	568700	2678708
113	820245	33253	5345	467329	3494127	5467	490629	2914407	4967	757744	2585810
137	798604	31769	5174	480464	3526626	5758	487206	2965864	5430	559306	2616341
139	765236	31326	5651	485084	3581081	5756	459769	2960900	5523	597473	2626918
