1	2	3	4	5	6	7	8	9	10	11	12
160	116867	2030	4498	1157944	529773	3383	1034909	74953	3340	1793152	60152
397	156058	1678	4437	1416299	516753	3212	958105	45702	2958	1915108	71581
162	196688	3935	4239	1322294	551490	3001	773116	70098	2981	1735389	59820
143	157321	1322	4519	1352749	696725	3063	790775	99896	3801	1734981	41610
146	207355	1479	2871	1291753	54974	2282	1800912	46297	2583	1984330	92323
160	176831	1250	3186	1525037	233807	2263	1828379	48372	2605	1982625	66230
151	144407	2146	2532	1362285	42993	2412	1762488	67144	2760	1992528	98454
216	202010	8417	3048	1333646	51995	2359	1824557	86310	2758	1955484	135171
