1	2	3	4	5	6	7	8	9	10	11	12
25896	198307	8888	5356	1283103	939627	4040	1244400	1002689	3322	1712437	190407
244	108667	9422	4541	1508356	911054	3754	1271084	502894	3226	1721867	156422
165	104777	4576	4612	1530389	755280	3604	1308395	448123	3146	1740931	158727
196	121218	3545	4809	1502240	859787	3889	1308308	464901	3019	1702997	168899
162	153219	8055	3669	1688538	140446	3440	1661432	158982	3105	1863072	108410
152	134984	5282	3599	1670273	106919	3361	1680092	117114	3028	1913597	125907
155	93501	5378	3538	1715741	102747	15467	1678096	125303	3038	1891321	111782
193	109315	4412	3654	1788137	115497	3509	1628648	143468	3149	1919473	115174
