1	2	3	4	5	6	7	8	9	10	11	12
212	1578222	34824	4215	1280071	4933757	3469	1136826	4408533	3745	985560	3234408
147	1651628	33966	4182	1133884	5072764	3370	1089827	4068434	3783	1074766	3311769
153	1580748	33938	4009	1002782	4235334	3424	1079949	3865275	3843	985233	3154705
126	1586568	33455	4207	1031719	4630506	3439	1229955	3802823	3855	960208	3261885
129	1591672	32798	2737	744258	1066189	3085	1396865	1258547	3219	1084611	1224490
143	1513153	33236	2904	729818	1142764	3142	1085042	1206710	3173	1095264	1171439
131	1539405	32991	3068	668852	1184890	3202	1168539	1291390	3059	1040590	1180617
128	1419858	32581	3191	732347	1133538	3230	1255612	1443888	3047	1001067	1204423
