1	2	3	4	5	6	7	8	9	10	11	12
225	1823164	79888	6380	1195815	4921298	6211	1072150	4386337	8180	1376141	3966215
127	1907111	62430	6794	1082864	4422941	5790	1129923	4012982	5702	1172365	3690038
116	1877541	73459	6402	1064655	4292065	5887	956920	3924640	5687	1164642	3824459
132	1607745	55959	6638	1084615	4374295	6139	996194	4058305	5306	1147846	3996595
200	1898883	67399	4926	1203337	2941402	4615	1167118	2576930	4189	961322	1234644
121	1886297	66621	10982	1218833	3397649	4787	1185378	2628470	3548	1046273	1385976
1347	1961433	71960	4539	1236370	3426244	4876	1180230	2863350	3525	1004554	1323767
144	1964226	70093	4480	1280052	3475810	7007	1220804	2946979	3743	1070379	965986
