1	2	3	4	5	6	7	8	9	10	11	12
133	1900794	68639	6854	1043954	5361262	10589	928010	3957973	6176	1072342	3397358
115	1931361	62082	6280	1098884	4560490	7284	1097039	4017590	6128	1148546	3030023
128	1930802	66782	6518	1048794	4519656	6953	1023262	4106534	6547	1133974	2785676
117	1996481	63544	6229	1108448	4407375	6856	983415	4394026	6665	1069719	2758939
135	1978166	48125	6803	1053148	3455887	8762	1184538	3458287	6827	973114	2919039
122	2022061	47965	6680	1078531	3529634	6012	1231429	3538410	6817	1050724	3035501
111	2031102	47942	6519	1092057	3957520	6268	1449718	3326350	6856	1033309	2999973
127	1948255	46640	6894	1093992	3658780	6412	1212350	3757387	6629	1069165	3197291
