1	2	3	4	5	6	7	8	9	10	11	12
133	58956	700	5500	1283553	1699896	4857	1212820	554284	4268	1512045	1996383
173	60954	731	5059	1178530	1135250	4613	1241727	544637	4099	1536023	1881819
169	58840	711	5072	1097546	1021163	8880	1199986	719533	3910	1486926	1697222
141	63494	745	5011	1103239	1413271	4238	1227958	663581	4043	1672130	1787760
144	75608	877	4514	1358661	1775688	4205	1273751	1352828	2623	1410650	198939
147	56023	716	4378	1299478	1961836	4301	1353758	1064426	2562	1359497	140778
140	58977	740	4607	1350419	2074990	4183	1332623	1409865	2622	1474738	140834
202	53307	1268	4795	1288459	1227973	4726	1218674	1775785	2730	1282700	95152
