1	2	3	4	5	6	7	8	9	10	11	12
147	104783	7573	7835	672254	2728577	6521	553968	3817707	6645	743075	3070279
120	113718	11656	6901	714061	2149778	6144	651695	3093868	5717	654056	3952065
129	88762	9150	7362	671225	1751824	6148	654004	2646722	5426	697674	2820412
143	224513	21038	7141	708661	2009280	6126	681205	2840148	5679	715829	2548211
141	89677	34246	6349	778627	3269809	4222	594879	302807	4607	968588	899139
139	112026	8749	6174	798153	3086068	4240	699904	363330	4585	939378	551520
128	82367	8134	5899	852225	2072831	4017	733709	220090	4456	1019468	547520
158	172465	6130	6334	878204	1967664	4167	769911	300730	4661	1047397	563694
