1	2	3	4	5	6	7	8	9	10	11	12
180	61623	4147	4325	709186	4048954	6050	808863	4903403	4865	690025	2737428
146	57204	2920	4587	717757	4328315	5770	755902	4278979	4660	683047	2101492
151	145818	5004	6004	718741	4045012	5658	720560	3952013	4135	648658	1710910
161	97674	3716	4755	879742	4638240	5391	798673	4005360	4380	691509	1784601
168	62359	4414	4755	776907	2122041	4433	843923	1777190	3642	903392	94427
163	96187	5814	4822	812100	2398198	4280	884342	969502	3614	925445	87035
146	47164	2817	4822	813597	1929339	4272	899221	967164	3624	918567	64641
159	82304	3398	4497	760558	1991487	5241	887437	1071965	3219	947633	71468
