1	2	3	4	5	6	7	8	9	10	11	12
179	237945	242367	4643	2166472	4793901	3376	2261196	2727042	2950	2317576	1662014
214	211586	256713	4164	1941236	4412265	3136	2109692	2318183	2787	2037499	1545811
182	204751	251366	4149	1827451	4198165	3084	1946249	2067377	2623	2071744	1445897
163	207535	198292	4238	1774826	4176232	3055	1893887	2359985	2681	2137830	2077172
166	151678	143529	141	146	142	169	660	220	144	139	191
152	137871	95634	305	146	136	162	156	140	133	182	222
152	108280	68548	135	155	124	144	135	202	1000	136	137
214	92100	50222	147	187	142	140	169	138	161	270	135
