1	2	3	4	5	6	7	8	9	10	11	12
165	124127	2239	5298	574383	250473	2912	1617366	184966	2910	1167688	583215
120	66058	957	4917	794811	646386	3063	1455901	133271	2877	1077222	419768
153	89439	973	5035	879123	795259	3210	1379508	140980	2911	1096723	452108
121	96968	879	4933	845523	899610	3127	1333855	244783	2806	1092203	813717
130	93835	820	3562	1816233	521740	2590	1758205	38747	3262	1540135	195483
142	329155	1677	3759	1766174	71465	2741	1748114	58201	3399	1492722	227215
157	319575	905	3841	1835112	26652	2888	1750852	36213	3377	1506876	124135
157	276873	1637	3780	1811658	32269	2942	1847459	31507	3481	1557379	61185
