1	2	3	4	5	6	7	8	9	10	11	12
119	1048822	34927	7085	1008277	3531840	5800	2255810	3676589	4587	674969	3416932
132	1030613	34959	7109	643187	3062384	5614	692052	3422825	4495	647254	3295677
140	1085851	34335	6988	758418	2964134	5717	867583	3345588	4402	662550	3034377
146	1048361	34934	6943	485023	3009229	5529	590213	3189580	4473	616970	3263686
144	996949	34941	4917	645594	2282215	4193	476386	1012104	3809	565269	1029341
125	1047518	34539	8086	629382	2211921	4257	708842	1002244	4488	579218	983155
144	1038187	34499	5131	674149	2170796	4374	456807	1011311	3762	598586	993561
139	1030223	34546	5186	748390	2227723	4615	563978	1047557	3918	791852	1023231
